好	a	女子
𥂩	maxo	古勹干皿
𥂪	rmfo	龷月攵皿
𥂫	jzzo	歹戈戈皿
𥂬	yuso	亠冂人皿
𥂭	jtqo	臣一皿
𥂮	voll	黑皿
𥂯	rbno	艹土旦皿
𥂰	yqmo	西一古皿
𥂱	eixo	大丷干皿
𥂲	zvfo	金⺊又皿
𥂳	nwov	冫馬皿
𥂴	iyqo	丷西一皿
𥂵	cdwo	氵彐二皿
𥂶	yuio	亠冂凵皿
𥂷	wkio	⺧口匚皿
𥂸	xnyo	木旦勿皿
𥂹	yqfo	西一皿
𥂺	nyco	日勿皿
𥂻	owwo	瓜彑皿
𥂼	ewwo	爪彑皿
𥂽	ejuo	爫龴冂皿
𥂾	izco	八刀頁皿
𥂿	rago	艹勹立皿
𥃀	ymko	亠肉囗皿
𥃁	bixo	土丷干皿
𥃂	ykso	亠囗人皿
𥃃	wuso	犭羽人皿
𥃄	yquo	西一系皿
𥃅	znoo	金日乙皿
𥃆	jtoo	臣罒皿
𥃇	bbbo	田田田皿
𥃈	wkro	虍囗乂皿
𥃉	jtwo	臣二皿
𥃊	ueio	幺大丷皿
𥃋	ekoo	亼口皿乙
𥃌	gpxo	立十木皿
𥃍	ubio	乡土丷皿
𥃎	ueio	幺大丷皿
𥃏	fbio	夂土丷皿
𥃐	yvuo	亠⺊冂皿
𥃑	gorf	舟皿乂夂
𥃒	zzzo	金戈戈皿
𥃓	wkio	虍口丷皿
𥃔	bcbo	⺽水臼皿
𥃕	bulo	士冖丨皿
𥃖	bbwo	⺽⺽二皿
𥃗	ozzo	飠戈戈皿
𥃘	buqo	⺽冂一皿
𥃙	woin	⺷皿丷日
𥃚	gngo	立日舟皿
𥃛	gofn	舟几又日
𥃜	bbco	⺽⺽氺皿
𥃝	bzko	⺽刀口皿
𥃞	dlqo	彐丨一乙
𥃟	bhlo	士尸丨皿
𥃠	qnco	魚日皿
𥃡	jteo	臣亼皿
𥃢	akuo	⺈口匕皿
𥃣	wowo	⺷皿⺷皿
𥃤	joj	目乙
𥃥	jolo	目乙
𥃦	sjml	人目
𥃧	juc	目丩
𥃧	juj	目丩
𥃧	juy	目丩
𥃨	jvb	目卜
𥃩	jug	目匕
𥃩	juy	目匕
𥃪	jpj	目十
𥃫	jfz	目又
𥃬	jilo	目凵
𥃭	pjql	十目
𥃮	mvjw	丿丶目
𥃯	jolm	目几
𥃰	yjb	亠目
𥃱	jslm	目人
𥃲	jrlq	目廾
𥃳	jwol	目二乙
𥃴	jgx	目卂
𥃵	jovf	目几丶
𥃶	jmol	目丿几
𥃷	jdlq	目寸
𥃸	jly	目也
𥃹	jcc	目川
𥃺	jhy	目⺎
𥃻	ijll	目
𥃼	jmjl	目丿厶
𥃽	joy	目工
𥃾	jbd	目土
𥃿	joy	目工
𥄀	jlqo	目丨一乙
𥄁	jorm	目乙乂
𥄂	pjqq	十目一
𥄃	ejml	爫目
𥄄	jelm	目爪
𥄅	jplm	目戶
𥄆	jqul	目一幺
𥄇	yjc	氏目
𥄇	yjh	氏目
𥄈	yjm	六目
𥄉	jocj	目乙巛
𥄊	jqcl	目一川
𥄋	jumv	目冂丿丶
𥄌	jopl	目九十
𥄍	jsig	目人
𥄎	jvfx	目⺊又
𥄏	jpfl	目十又
𥄐	jyrl	目亠乂
𥄑	jef	目夫
𥄒	jsux	目亻
𥄓	ijf	不目
𥄔	jqyp	目一巾
𥄕	lqvj	丨一⺊目
𥄖	jipx	目八十
𥄗	jfvv	目又丶丶
𥄘	iajs	八⺈目
𥄙	jqlh	目一丨儿
𥄚	jqil	目一
𥄛	jzx	目予
𥄜	jjpq	目厶十
𥄝	jqim	目一山
𥄞	jufl	目冂又
𥄟	izjm	八刀目
𥄠	juol	目幺乙
𥄡	jvll	目中
𥄢	jxlq	目木
𥄣	jvlv	目火
𥄤	uqjm	一目
𥄥	ujml	毛目
𥄦	jyod	目亠几
𥄧	jvlv	目灬
𥄨	jobc	目乙土
𥄩	juol	目幺乙
𥄪	tjql	五目
𥄫	jlvl	目乃丶
𥄬	jtlq	目五
𥄭	jtpl	目十
𥄮	jmbl	目丿士
𥄯	jeol	目亽乙
𥄰	jswl	目亻二
𥄱	zijf	弓目
𥄲	ojm	罒目
𥄳	ocll	罒氺
𥄴	jix	目穴
𥄴	jij	目穴
𥄵	jxvx	目木丶
𥄵	jxvy	目木丶
𥄶	joqk	目乙一口
𥄷	jiij	目匚
𥄸	jnm	目卯
𥄹	jajb	目勹巳
𥄺	jsxl	目人干
𥄻	jpuy	目宀匕
𥄼	jog	目瓜
𥄽	uwjv	二目丶
𥄾	rfjo	䶹丆目
𥄿	jhwy	目尸二
𥄿	jhwd	目尸二
𥅀	jicl	目
𥅁	jtlw	目丨二
𥅂	jsll	目亻也
𥅃	jnll	目旦
𥅄	afjn	女又目
𥅅	jwil	目二山
𥅆	jubl	目冂土
𥅇	jgol	目彳力
𥅈	jglv	目立
𥅉	awjm	二目
𥅊	jiql	目不一
𥅋	jrol	目廿乙
𥅌	ejll	目
𥅍	ejjm	亽龴目
𥅎	jiwo	目八二乙
𥅏	jqnl	目一日
𥅐	lfjq	万又目
𥅑	jbd	目㠯
𥅒	jlif	目千凵
𥅓	jtly	目也
𥅔	jis	目丘
𥅕	mmjm	丿月目
𥅖	jvfl	目丶王
𥅗	juc	目皮
𥅘	jaiz	目⺈小
𥅘	jaim	目⺈小
𥅙	jqus	目一冂人
𥅚	jewo	目大二乙
𥅛	jzlq	目戌
𥅜	jzlq	目戌
𥅝	qfxj	一干目
𥅞	juos	目弋工
𥅟	jyrj	目六乂
𥅠	jskh	目𠂋
𥅡	jte	目而
𥅢	jrif	目乂凵又
𥅣	jhol	目尸工
𥅤	pzki	十戈囗
𥅥	jpal	目宀女
𥅦	jxl	目耒
𥅧	jmox	目丿皿
𥅨	jwng	目二日
𥅩	jszl	目亻戈
𥅪	jufs	目丩攵
𥅫	ozzz	罒刀刀刀
𥅬	janj	目勹云
𥅭	jwnl	目二日
𥅮	jzjq	歹刂目
𥅯	jzfl	目戈
𥅰	pzjq	十戈目
𥅱	rlhj	䶹丨厂目
𥅲	jmxl	目丿未
𥅳	jqfx	目一干
𥅴	jeij	目夫丷
𥅵	gijw	止八目
𥅶	vjcl	⺊目井
𥅷	iyjs	少亠目
𥅸	jlqq	目千一一
𥅹	jfyl	目夂巾
𥅺	jawx	目⺈巴
𥅻	jghc	目儿
𥅼	jolv	目米
𥅽	ekjm	亼口目
𥅾	jhbl	目广土
𥅿	jdov	目扌九丶
𥆀	jcol	目氵工
𥆁	jjzl	目歹刂
𥆂	jsmb	目亻丿士
𥆃	jakl	目女口
𥆄	jihl	目⺎
𥆅	bkjj	士口目
𥆆	jqjc	目一厶
𥆇	rijq	龷八目
𥆈	jrul	目龷匕
𥆉	jsaf	目亻勹又
𥆊	jgll	目止廴
𥆋	jwlq	目豕
𥆌	jaoj	目⺈用
𥆍	jjol	目耳乙
𥆎	juol	目糹乙
𥆏	jzol	目戊乙
𥆐	jtkl	目五口
𥆑	jmbl	目丿士廴
𥆒	jkhl	目白儿
𥆓	jsnl	目亻申
𥆔	jhhx	目耂子
𥆕	pujv	冖目
𥆖	jod	目豆
𥆗	ejvf	大目⺊又
𥆘	jcg	目貝
𥆙	jwmm	目龙丿丿
𥆚	jcfw	目氵王
𥆛	gofj	彳几又目
𥆜	jgvf	目彳丶王
𥆝	cijs	氵少目
𥆞	olho	罒丨厂罒
𥆟	jikh	目八口儿
𥆠	jykl	目氏口
𥆡	jeok	目亽乙口
𥆢	jjul	目目匕
𥆣	jjfs	目目又
𥆤	nbjl	日土目
𥆥	jgx	目走
𥆦	jhfl	目⺎王
𥆧	jpfr	目门王
𥆨	jgcl	目
𥆩	jlnh	目丨日儿
𥆪	jxkl	目木口
𥆫	jkxl	目口木
𥆬	jehl	目爫子
𥆭	jdel	目扌夫
𥆮	jbvo	目土上乙
𥆯	juub	目匕匕土
𥆰	jkqc	目口一
𥆱	jieo	目山亽乙
𥆲	jyin	目勿山
𥆳	vrij	丶廾八目
𥆴	vedj	丶大寸目
𥆵	jvrl	目火廾
𥆶	jvrd	目丶乂手
𥆷	jduf	目彐冖又
𥆸	jais	目女人
𥆹	jilv	目山乃丶
𥆺	jyql	目西一
𥆻	jkkl	目口
𥆼	jnbl	目日土
𥆽	jkeo	目口亽乙
𥆾	jzvj	目刀丶心
𥆿	jklq	目求
𥇀	jrgl	目艹亡
𥇁	jsvf	目亻丶王
𥇂	jkoz	目口力刂
𥇃	jwvl	目犭火
𥇄	jfjn	目又目
𥇅	wjml	免目
𥇆	joom	目米乙
𥇇	jcis	目氵少
𥇈	jkrl	目囗屯
𥇉	jwoq	目乙
𥇊	jnuu	目日匕匕
𥇋	jgjl	目亡目
𥇌	jabh	目⺈臼
𥇌	jabq	目⺈臼
𥇍	jvnz	目⺊早
𥇎	jzai	目弓⺈小
𥇏	jnvx	目日火
𥇐	jxll	目斤辶
𥇑	jqyv	目一巾丶
𥇒	jgaj	目立女
𥇓	jpqg	目宀一龰
𥇔	jdyc	目
𥇔	jdyz	目
𥇕	jwuz	目牛冂刂
𥇖	ejf	非目
𥇗	jhbj	目尸由
𥇘	jktj	目囗禾
𥇙	zkqj	戈口一目
𥇚	jedk	目大丁口
𥇛	ejjj	大目目
𥇛	ejjx	大目目
𥇜	jphz	目子
𥇜	jphg	目子
𥇝	jeix	目大丷干
𥇞	jvkb	目⺊口土
𥇟	jyro	目六乂力
𥇠	fjjy	夂目目
𥇡	oeix	罒大丷干
𥇢	jgxz	目车斤
𥇣	jhri	目尸屮凵
𥇤	jhwi	目尸二凵
𥇥	jeks	目亼口人
𥇦	jxxl	目木斤
𥇧	jevl	目大示
𥇨	vovj	⺊乙火目
𥇩	jbqo	目臼一乙
𥇪	jell	目非
𥇫	jiqc	目一水
𥇬	jnxl	目日木
𥇭	jtkz	目矢口
𥇮	sszj	人人刂目
𥇯	jyym	目勿勿
𥇰	jyjh	目勿心
𥇱	jyjx	目亠厶木
𥇲	cujs	氵皮目
𥇳	jduy	目彐冖巾
𥇴	jxxl	目爿斤
𥇵	jhbi	目尸土凵
𥇶	jzlm	目金
𥇷	jifl	目山石
𥇸	jiil	目丘山
𥇹	jndl	目旦寸
𥇺	jxwl	目爿犬
𥇻	jpbl	目宀由
𥇼	jfrl	目石廾
𥇽	ehoj	爫子乙目
𥇾	juul	目毛毛
𥇿	jzkq	目戈口一
𥈀	jjel	目目大
𥈁	jnll	目卬辶
𥈂	jhkq	目了口一
𥈃	jisf	目穴人又
𥈄	rijj	龷八巳目
𥈅	jfjl	目丆囬
𥈆	jnjm	目曰目
𥈇	jter	目而大
𥈈	javx	目句灬
𥈉	jaue	目⺈冂大
𥈊	jlbs	目千臼
𥈋	jmkw	目丿口⽱
𥈌	jslu	目亻丨彡
𥈍	jjhf	目目⺁又
𥈎	jnao	目日勹乙
𥈏	jjme	目目丿大
𥈐	jgux	目止匕木
𥈑	jaht	目⺈厂矢
𥈒	juur	目幺幺廾
𥈓	juok	目冂乙口
𥈔	jina	目匚日女
𥈕	jiqo	目八一皿
𥈖	jewd	目大羊
𥈗	jcb	目頁
𥈘	jyni	目亠日小
𥈙	jxkz	目木口刂
𥈚	jhsl	目广人辶
𥈛	jyjl	目六目
𥈜	ejjx	夫目目
𥈝	jyvj	目勿丶心
𥈞	jrui	目龷冂山
𥈟	jpvf	目宀火又
𥈠	voqj	⺊乙一目
𥈡	jxvl	目木示
𥈢	jwel	目⺷大
𥈣	jrqn	目艹一日
𥈤	jvdg	目⺊彐龰
𥈥	jjdy	目忄彐
𥈦	jeub	目爫冂土
𥈧	jdjl	目龵目
𥈨	jrof	目几又
𥈩	jrij	目龷八巳
𥈪	jjrl	目目开
𥈫	jjff	目目又
𥈬	jnwo	目日⽱
𥈭	jkwo	目吅二乙
𥈮	joyl	目罒方
𥈯	jsnb	目亻日土
𥈰	jcri	目氵龷八
𥈱	jlfo	目乃又皿
𥈲	jadj	目⺈彐心
𥈳	jiwl	目穴犬
𥈴	jwdl	目虍
𥈵	jxvl	目木
𥈶	jpux	目十冂干
𥈷	puvj	十冖示目
𥈸	xjjg	木目目
𥈹	jijl	目穴牙
𥈺	jeln	目爫丨日
𥈻	jrib	目龷八土
𥈼	gofj	舟几又目
𥈽	prij	宀八目
𥈾	jijj	目穴目
𥈿	joch	目工貝
𥉀	jocg	目罒氺
𥉁	jjei	目目大
𥉂	jrgc	目艹亡
𥉃	jmuj	厶月匕目
𥉄	jjh	目骨
𥉅	jqkl	目一口丨
𥉆	vvfj	上示又目
𥉇	jrub	目冂土
𥉈	jslm	目亻丨月
𥉉	jslx	目亻丨朩
𥉊	jwm	目馬
𥉋	jiec	目丷夫氺
𥉌	jrek	目艹亼口
𥉍	jrqe	目屮一虫
𥉎	jgjh	目彳目儿
𥉏	pnmj	十早丿目
𥉐	jeue	目爫幺大
𥉑	juey	目冖隹
𥉑	jueh	目冖隹
𥉒	jjxj	目自木
𥉓	jjom	目必皿
𥉔	jvjg	耳火目
𥉕	juqw	目冖一豕
𥉖	jbbj	目土土心
𥉗	juul	目羽毛
𥉘	jhwo	目⺁虍几
𥉙	jhun	目耂匕日
𥉚	jsss	目亻人人
𥉛	jpna	目宀日女
𥉜	jetc	目禾
𥉝	jiir	目匚
𥉞	jojl	目罒目
𥉟	jgof	目舟几又
𥉠	zfoj	矛夂力目
𥉡	jism	目穴人夕
𥉢	juqb	目冂一土
𥉣	jgyl	目方
𥉤	jvdy	目火彐
𥉥	jsll	目屰辶
𥉦	jsjl	目民目
𥉧	jznn	目弓冫冫
𥉨	jujh	目彡目儿
𥉩	gnoj	立日乙目
𥉪	jcta	目氵母
𥉫	jgno	目立日乙
𥉬	jjzv	目歹刂灬
𥉭	jdxk	目扌斤口
𥉮	jsml	目屰月
𥉯	jxbb	目木土土
𥉰	jebh	目爫臼
𥉰	jebq	目爫臼
𥉱	jebo	目大⺽乙
𥉲	jhry	目尸龷
𥉳	juvb	目丶田
𥉴	jpji	目宀必山
𥉵	tjm	麻目
𥉶	jwl	目鹿
𥉷	jzvi	目戊上小
𥉸	jjfb	目臣又土
𥉹	jbul	目田糸
𥉺	jiqb	目穴一土
𥉻	jmvq	目示
𥉼	jsdx	目亻彐木
𥉽	jhdc	目广彐氺
𥉾	jusu	目羽人彡
𥉿	jijh	目不目儿
𥊀	jjju	目厶厶彡
𥊁	jpjf	目宀耳又
𥊂	jggg	目彳止龰
𥊃	ssoj	人人罒目
𥊄	lqvj	丨一⺊目
𥊅	jihb	目山厂土
𥊆	jhqg	目广一龰
𥊇	jtwj	臣二目
𥊈	jtzx	目禾刂木
𥊉	jiek	目穴亼口
𥊊	jprp	目十艹十
𥊋	jejh	目爫目儿
𥊌	jcnx	目巛日木
𥊍	bixj	土丷干目
𥊎	jebl	目臼
𥊏	jhuj	目耂匕目
𥊐	jjph	目目宀子
𥊑	jnof	目日罒又
𥊒	jfel	目夂三辶
𥊓	jgmh	目立丿生
𥊔	jyik	目亠丷口
𥊕	jslm	目亻丨月
𥊖	jbel	目土隹
𥊗	jcvv	目氵火火
𥊘	jpek	目宀大口
𥊙	jkrf	目乂夂
𥊚	jtlv	目麻
𥊛	jgmf	目亡月王
𥊜	jlis	目言人
𥊝	jbiv	目土丷丶
𥊞	jkzq	目囗戈一
𥊟	hljj	尸丨目心
𥊠	jipv	目山宀示
𥊡	jgal	目車欠
𥊢	ptiq	十尚
𥊣	iptl	尚十
𥊤	jgnd	目彳旦寸
𥊥	jiab	目阝⺈臼
𥊦	jzfo	目矛夂力
𥊧	bhlj	士尸丨目
𥊨	xvfj	木示又目
𥊩	jgll	目車辶
𥊪	jeov	目爫灬
𥊫	jkpc	目囗十貝
𥊬	jkjz	目口耳戈
𥊭	jiyd	目丷西寸
𥊮	jdbq	目彐土一
𥊯	jelu	目三丨糸
𥊰	jiug	目冖足
𥊱	jzoo	目戊乙皿
𥊲	jixl	目尚木
𥊳	jwik	目羊丷口
𥊴	jnjf	目日耳又
𥊵	jdcl	目彐氺辶
𥊶	jmwv	目犬灬
𥊷	vbwj	土犬目
𥊸	jpoj	目十罒心
𥊹	hsej	广亻隹目
𥊺	jpxl	目門木
𥊻	jjju	目厶厶糸
𥊼	jijz	目尚牙
𥊽	ocim	罒氺丷丿
𥊾	ojcx	工目頁
𥊿	jjof	目目罒又
𥋀	jiqf	目匚一又
𥋁	jjuo	目目冖乙
𥋂	jaof	目⺈罒夂
𥋃	jttl	目而而
𥋄	jywv	目覀二火
𥋅	eejl	虫虫目
𥋆	jphf	目子攵
𥋇	jidl	目尚手
𥋈	bbbj	土土土目
𥋉	jujl	目羽耳
𥋊	jmek	目丿大口
𥋋	jeen	目夫夫日
𥋌	jrmf	目龷月攵
𥋍	jmsb	目丿人土
𥋎	jssj	目人人目
𥋏	jgzn	目立戈日
𥋐	jcij	目氵少目
𥋑	jzkp	目刀口十
𥋒	jtkn	目矢口日
𥋓	jnpi	目日小
𥋔	jiqf	目山一攵
𥋕	jcao	目氵欠皿
𥋖	jwrl	目虍业
𥋗	jyfl	目㡀攵
𥋘	jtim	目月
𥋙	jrwi	目业羊八
𥋚	lqvj	丨一⺊目
𥋛	joae	目罒勹虫
𥋜	hljf	尸丨目又
𥋝	jqdd	目黽彐
𥋞	jnej	目⻗亽龴
𥋟	jwmz	目⺷丿戈
𥋠	jyvz	目覀示刂
𥋡	jjuz	目目冖弓
𥋢	jejj	目大目目
𥋣	jycj	目覀貝
𥋤	iljc	尚甘目
𥋥	jjwj	目目兔
𥋦	jhiu	目广匕
𥋧	jadv	目⺈彐灬
𥋨	jwul	目鹿匕
𥋩	pqij	宀一谷目
𥋪	giqj	彳山一目
𥋫	jjpg	目目宀龰
𥋬	jjuu	目目冖冂
𥋭	joex	目罒大干
𥋮	jmlz	目言
𥋯	jmll	目言
𥋰	jpqs	目宀一人
𥋱	jpjo	目宀必皿
𥋲	jhil	目广丷
𥋳	jikj	目山白厶
𥋴	jxxv	目木木示
𥋵	jgna	目立日欠
𥋶	jykt	目亠回禾
𥋷	jrck	目艹氵口
𥋸	jnbl	目⻗田
𥋹	ndjs	旦寸目民
𥋺	jpeb	目宀爫臼
𥋻	jurc	目冂乂貝
𥋼	jsjw	目人㐫禸
𥋽	jovn	目罒⺊早
𥋾	jrlw	目艹千二
𥋿	jbll	目土
𥌀	jpmv	目宀示
𥌁	jnuv	目日幺灬
𥌂	jjpy	目目宀方
𥌃	jqir	目一八乂
𥌄	vuqj	⺊冖一目
𥌅	hnmj	厂日月目
𥌆	jbod	目士乙寸
𥌇	jtrg	目龷㐄
𥌈	jjto	目臣皿
𥌉	jekr	目亼吅艹
𥌊	gfjp	立目十
𥌋	jrom	目艹罒夕
𥌌	jvvg	目火火㐄
𥌍	jyef	目六隹又
𥌎	jntl	目⻗而
𥌏	hljy	尸丨目六
𥌐	juvj	目丶心
𥌑	jvuj	目⺊冖目
𥌒	oujq	壴皮目
𥌓	john	目罒耂日
𥌔	jaoc	目⺈罒貝
𥌕	uujq	革皮目
𥌖	jjny	目目旦勿
𥌗	jjuu	目自冖冂
𥌘	jiwj	目丷豕目
𥌙	hljg	尸丨目車
𥌚	jboc	目士罒貝
𥌛	jtac	目禾勹氺
𥌜	jwvl	目鹿灬
𥌝	buqv	⺽幺一火
𥌞	jxre	目木乂大
𥌟	vtsj	上矢人目
𥌠	jwbj	目虍田心
𥌡	joby	目罒土
𥌢	jpei	目宀大小
𥌣	jkyu	目白巾系
𥌤	juvc	目匕示氺
𥌥	jlnx	目言日木
𥌦	jeeg	目夫夫車
𥌧	jqnl	目魚日
𥌨	jocx	目米頁
𥌨	jocm	目米頁
𥌩	jgpj	目彳十心
𥌪	jbji	目土目八
𥌫	jtww	目彑
𥌬	jhnb	目广日土
𥌭	jmqu	目月一系
𥌮	jhtg	目厂禾止
𥌯	jroo	目艹罒瓦
𥌰	jecl	目貝辶
𥌱	lqvs	丨一⺊民
𥌲	jpnx	目日干
𥌳	jwhn	目⺧儿日
𥌴	jvve	目火火虫
𥌵	rksu	廿口人匕
𥌶	jbsc	目臼人貝
𥌷	jpaj	目宀龶心
𥌸	jpab	目門⺈臼
𥌹	jzky	目金白巾
𥌺	jekr	目亼口艹
𥌻	jpxv	目門木
𥌼	jnkk	目⻗口口
𥌽	jcca	目貝貝女
𥌾	jhsj	目广亻心
𥌿	jxvc	目木示氺
𥍀	jssq	目人人一
𥍁	bgdj	止彐目
𥍂	jrkv	目廿口灬
𥍃	jkee	目口虫隹
𥍄	jihj	目⺎目
𥍅	mvrx	丿丶龷干
𥍆	jlvf	目言火又
𥍇	jrou	目艹罒匕
𥍈	jjrw	目目艹⽱
𥍉	jjjj	目耳耳耳
𥍊	rkej	艹吅隹目
𥍋	jiek	目山隹口
𥍌	jbki	目⺽丷
𥍍	jrjo	目艹臣皿
𥍎	jnwc	目日⽱頁
𥍏	jlvv	目言火火
𥍐	jrkx	目艹白木
𥍑	jgmk	目車丿口
𥍒	jtzj	目戌心
𥍓	jkhf	目吅厂攵
𥍔	jbbu	目田田糸
𥍕	jihm	目⺎月
𥍖	jjth	目臣儿
𥍗	jvkl	目⺊囗丨
𥍘	jobh	目飠土⺎
𥍙	titi	小小
𥍚	jluf	目言糹攵
𥍛	jikf	目山吅攵
𥍜	jrjf	目艹目又
𥍝	zqs	矛一
𥍞	zzvn	矛刀丶
𥍟	zofx	矛几又
𥍟	zofy	矛几又
𥍠	ziqo	矛八一乙
𥍡	zkom	矛白
𥍢	ztlo	矛也
𥍣	zkqo	矛口一乙
𥍤	zzoo	矛矛
𥍥	zzoq	矛戊
𥍦	ztyo	矛巾
𥍧	zcmo	矛巛夕
𥍨	zahj	矛⺈厂㔾
𥍩	zuqk	矛冂一口
𥍪	zwz	矛豸
𥍫	zvdy	矛丶彐
𥍬	zjif	矛厶八夂
𥍭	zdxz	矛扌斤
𥍮	zfel	矛夂三丨
𥍯	zduf	矛彐冖又
𥍰	zrav	矛艹勹丶
𥍱	zwkz	矛⺧口
𥍲	zxuv	矛木冂丶
𥍳	zxob	矛木乙土
𥍴	znyy	矛日勿
𥍵	zeoj	矛亽乙心
𥍶	zaht	矛⺈厂矢
𥍷	zyvj	矛勿丶心
𥍸	zytl	矛方也
𥍹	zdwl	矛彐二廴
𥍺	zrif	矛乂凵夂
𥍻	zina	矛匚日女
𥍼	zrue	矛艹冂大
𥍽	zlnw	矛千日二
𥍾	zuuk	矛匕匕白
𥍿	zhpj	矛⺁十目
𥎀	zcr	矛頁
𥎁	zxvk	矛木⺊口
𥎂	zrjr	矛艹耳
𥎃	znox	矛气米
𥎄	zedk	矛亽彐口
𥎅	zocg	矛罒氺
𥎆	zpek	矛宀三口
𥎇	zjqo	矛一乙
𥎈	zfyq	矛夂西一
𥎉	zfco	矛夂貝
𥎊	zuq	矛堇
𥎋	zkmj	矛丿心
𥎌	zfel	矛夂三辶
𥎍	zacz	矛龶貝
𥎎	zaow	矛⺈用牛
𥎏	zssn	矛人人日
𥎐	zuii	矛冂八凵
𥎑	zihn	矛匚儿日
𥎒	znmj	矛日月心
𥎓	zkro	矛囗艹豆
𥎔	zwel	矛豕虫
𥎕	zuiv	矛冂八丶
𥎖	zqir	矛一八乂
𥎗	zbqi	矛⺽一八
𥎘	zntr	矛⻗而
𥎙	zbjj	矛田心目
𥎚	zrkb	矛廿口土
𥎛	ziec	矛匚貝
𥎜	zuie	矛冂八夫
𥎝	zwhc	矛⺧儿贝
𥎞	zeec	矛夫夫貝
𥎟	zfgn	矛攵立早
𥎠	zaoe	矛⺈罒虫
𥎡	zjje	矛目目隹
𥎢	zxuv	矛木冖灬
𥎣	ziwc	矛穴鼠
𥎤	zbuv	矛⺽冂火
𥎥	zybv	矛亠⺽火
𥎦	htqm	厂矢
𥎧	tpmq	矢十
𥎨	qlqt	一丨一矢
𥎩	gtlm	止矢
𥎪	tfmm	矢攵
𥎫	zzto	刀刀矢
𥎬	tuum	矢匕匕
𥎭	tnml	矢日
𥎮	thfw	矢⺁又
𥎯	tamm	矢欠
𥎰	tbjf	矢土厶
𥎱	tub	矢犮
𥎲	itlo	矢丨乙
𥎳	tamo	矢母
𥎴	tbml	矢田
𥎵	tdkm	矢丁口
𥎶	tjml	矢目
𥎷	tkmm	矢白
𥎸	tyuq	矢亠幺
𥎹	tqjb	矢一厶土
𥎺	thct	矢儿
𥎻	gtmm	舟矢
𥎼	ghtl	止厂矢
𥎽	tiem	矢山大
𥎾	tahj	矢⺈厂㔾
𥎿	tkdm	矢口于
𥏀	ssst	人人人矢
𥏁	tgqo	矢止一乙
𥏂	ssht	人人厂矢
𥏃	tkwo	矢口二乙
𥏄	tfnz	矢丆日
𥏅	tnz	矢早
𥏆	tjmm	矢自
𥏇	ieth	丷夫矢
𥏈	oqut	几一幺矢
𥏉	yuut	亠匕匕矢
𥏊	tuz	矢羽
𥏋	whtm	⺧儿矢
𥏌	twhm	矢⺧儿
𥏍	tmkm	矢夕口
𥏎	tmbl	矢丿士廴
𥏏	itkf	匚矢口又
𥏐	ttom	矢禾几
𥏑	utjv	匕矢厶丶
𥏒	ttkw	矢五口
𥏓	tnrb	矢日廾
𥏔	tgpm	矢立十
𥏕	tpfj	矢宀厶
𥏖	tjts	矢厶矢
𥏗	ttlm	矢禾乃
𥏘	thri	矢尸屮凵
𥏙	tiej	矢丷夫㔾
𥏚	utdy	匕矢彐巾
𥏛	yizt	亠丷戈矢
𥏜	tedk	矢大丁口
𥏝	try	矢亞
𥏞	tfff	矢又又又
𥏟	tymv	矢㡀
𥏠	tkmp	矢白丿十
𥏡	tgam	矢立女
𥏢	teix	矢大丷干
𥏣	teix	矢大丷干
𥏤	teio	矢大丷乙
𥏥	tvnq	矢⺊早
𥏦	tjwo	矢目二乙
𥏧	tksb	矢口人土
𥏨	tubk	矢⺆土口
𥏩	tzom	矢弓瓜
𥏪	tuuk	矢匕匕白
𥏫	tnys	矢旦勿
𥏬	nytl	旦勿矢
𥏭	trox	矢廿乙木
𥏮	tgna	矢立日
𥏯	tknz	矢口早
𥏰	dmbu	彐丿土匕
𥏱	tlnw	矢千日二
𥏲	tedk	矢亽彐口
𥏳	xsst	木人人矢
𥏴	tkro	矢口廿乙
𥏵	tnbm	矢卯田
𥏶	utta	匕矢禾女
𥏷	bkut	土白匕矢
𥏸	tiom	矢山豆
𥏹	tpj	矢高
𥏺	twom	矢工
𥏻	ttny	矢旦勿
𥏼	tkko	矢口白乙
𥏽	twlm	矢虍乎
𥏾	tkio	矢口丘乙
𥏿	tpkm	矢門口
𥐀	toxs	矢其斤
𥐁	trwv	矢业丶
𥐂	vtnw	上矢日⽱
𥐃	tgio	矢止乙
𥐄	irnt	丷亚日矢
𥐅	tirn	矢丷亚日
𥐆	toil	矢豆丷丨
𥐇	tody	矢豆彐
𥐈	toaf	矢米女攵
𥐉	dyto	彐矢豆
𥐊	tkyf	矢白方攵
𥐋	torr	矢豆艹乂
𥐌	tyiw	矢亠丷二
𥐍	toom	矢豆豆
𥐎	tntm	矢⻗而
𥐏	tohk	矢豆尸口
𥐐	toyk	矢豆衣口
𥐑	tcca	矢貝貝女
𥐒	tojm	矢豆骨
𥐓	trke	矢艹吅隹
𥐔	topk	矢豆門口
𥐕	foy	石乙
𥐖	hqkq	厂一口
𥐗	fjqo	石㔾
𥐘	hwks	厂二口
𥐙	fip	石八
𥐙	fib	石八
𥐚	fvp	石卜
𥐛	fzqo	石刀
𥐜	foqm	石九
𥐝	favq	石勹丶
𥐞	fgm	石亡
𥐟	fvrc	石丶乂
𥐠	fovq	石九丶
𥐡	fgqq	石亍
𥐢	fiql	石山
𥐣	fcqm	石川
𥐤	fsoq	石人乙
𥐥	fmoq	石丿几
𥐦	fjqo	石己
𥐧	frqq	石廾
